ID: 2, Timestamp: 0.9034683, Drone Position: (-352.77, 45.00, -107.38), Speed: 4.617342, Camera Position: (-103.28, 1.76, -107.33), Camera Rotation: (353.56, 266.63, 1.02), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.9172049, Drone Position: (-352.70, 45.00, -107.38), Speed: 4.686025, Camera Position: (-103.28, 1.76, -107.33), Camera Rotation: (353.64, 266.68, 0.90), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.9315034, Drone Position: (-352.64, 45.00, -107.38), Speed: 4.757517, Camera Position: (-103.28, 1.76, -107.33), Camera Rotation: (353.70, 266.75, 0.82), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.9454491, Drone Position: (-352.57, 45.00, -107.38), Speed: 4.827246, Camera Position: (-103.28, 1.76, -107.33), Camera Rotation: (353.74, 266.87, 0.70), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.9594784, Drone Position: (-352.50, 45.00, -107.38), Speed: 4.897393, Camera Position: (-103.28, 1.76, -107.33), Camera Rotation: (353.87, 267.00, 0.65), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.9737508, Drone Position: (-352.43, 45.00, -107.38), Speed: 4.968755, Camera Position: (-103.28, 1.76, -107.33), Camera Rotation: (353.98, 267.09, 0.63), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 0.9872909, Drone Position: (-352.36, 45.00, -107.38), Speed: 5.036455, Camera Position: (-103.28, 1.76, -107.33), Camera Rotation: (354.01, 267.14, 0.65), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.00111, Drone Position: (-352.29, 45.00, -107.38), Speed: 5.105549, Camera Position: (-103.28, 1.76, -107.33), Camera Rotation: (354.05, 267.14, 0.74), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.015214, Drone Position: (-352.22, 45.00, -107.38), Speed: 5.176069, Camera Position: (-103.28, 1.76, -107.33), Camera Rotation: (354.11, 267.10, 0.94), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.029004, Drone Position: (-352.14, 45.00, -107.38), Speed: 5.245023, Camera Position: (-103.28, 1.76, -107.33), Camera Rotation: (354.19, 267.06, 1.12), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.042941, Drone Position: (-352.07, 45.00, -107.38), Speed: 5.314707, Camera Position: (-103.28, 1.76, -107.33), Camera Rotation: (354.27, 267.03, 1.10), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.056968, Drone Position: (-351.99, 45.00, -107.38), Speed: 5.38484, Camera Position: (-103.27, 1.76, -107.33), Camera Rotation: (354.53, 267.08, 0.92), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.07099, Drone Position: (-351.92, 45.00, -107.38), Speed: 5.45495, Camera Position: (-103.27, 1.76, -107.33), Camera Rotation: (354.86, 267.12, 0.87), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.085624, Drone Position: (-351.84, 45.00, -107.38), Speed: 5.528122, Camera Position: (-103.27, 1.76, -107.33), Camera Rotation: (355.08, 267.17, 0.88), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.099121, Drone Position: (-351.76, 45.00, -107.38), Speed: 5.595605, Camera Position: (-103.27, 1.76, -107.33), Camera Rotation: (355.17, 267.21, 0.99), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.112862, Drone Position: (-351.68, 45.00, -107.38), Speed: 5.664309, Camera Position: (-103.27, 1.76, -107.33), Camera Rotation: (355.11, 267.24, 1.20), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.127149, Drone Position: (-351.60, 45.00, -107.38), Speed: 5.735746, Camera Position: (-103.27, 1.76, -107.33), Camera Rotation: (355.00, 267.30, 1.37), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.140698, Drone Position: (-351.52, 45.00, -107.38), Speed: 5.803492, Camera Position: (-103.27, 1.76, -107.33), Camera Rotation: (355.10, 267.41, 1.40), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.154965, Drone Position: (-351.44, 45.00, -107.38), Speed: 5.874827, Camera Position: (-103.27, 1.76, -107.33), Camera Rotation: (355.33, 267.54, 1.37), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.169004, Drone Position: (-351.36, 45.00, -107.38), Speed: 5.945023, Camera Position: (-103.27, 1.76, -107.33), Camera Rotation: (355.57, 267.68, 1.27), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.183662, Drone Position: (-351.27, 45.00, -107.38), Speed: 6.018313, Camera Position: (-103.27, 1.76, -107.33), Camera Rotation: (355.71, 267.80, 1.23), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.196616, Drone Position: (-351.19, 45.00, -107.38), Speed: 6.083079, Camera Position: (-103.27, 1.76, -107.33), Camera Rotation: (355.69, 267.85, 1.30), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.210525, Drone Position: (-351.10, 45.00, -107.38), Speed: 6.152624, Camera Position: (-103.27, 1.76, -107.33), Camera Rotation: (355.58, 267.80, 1.47), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.224874, Drone Position: (-351.01, 45.00, -107.38), Speed: 6.224371, Camera Position: (-103.27, 1.76, -107.33), Camera Rotation: (355.46, 267.73, 1.56), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.238668, Drone Position: (-350.93, 45.00, -107.38), Speed: 6.293342, Camera Position: (-103.27, 1.76, -107.33), Camera Rotation: (355.30, 267.66, 1.55), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.252293, Drone Position: (-350.84, 45.00, -107.38), Speed: 6.361467, Camera Position: (-103.27, 1.76, -107.33), Camera Rotation: (355.13, 267.61, 1.42), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.266596, Drone Position: (-350.75, 45.00, -107.38), Speed: 6.432978, Camera Position: (-103.27, 1.76, -107.33), Camera Rotation: (355.02, 267.66, 1.20), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.280291, Drone Position: (-350.66, 45.00, -107.38), Speed: 6.501457, Camera Position: (-103.27, 1.76, -107.33), Camera Rotation: (354.94, 267.75, 1.03), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.294082, Drone Position: (-350.57, 45.00, -107.38), Speed: 6.570412, Camera Position: (-103.26, 1.76, -107.33), Camera Rotation: (354.79, 267.90, 0.76), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.308417, Drone Position: (-350.47, 45.00, -107.38), Speed: 6.642086, Camera Position: (-103.26, 1.76, -107.33), Camera Rotation: (354.58, 268.03, 0.58), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.322371, Drone Position: (-350.38, 45.00, -107.38), Speed: 6.711857, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (354.32, 268.12, 0.65), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
