Timestamp: 693.754, Position: (-352.95, 45.00, -107.38), Speed: 4.861184, Slider Value: 1, Phase: MoveToInitial, Scenario: 5
Timestamp: 693.7682, Position: (-352.88, 45.00, -107.38), Speed: 4.932646, Slider Value: 1, Phase: MoveToInitial, Scenario: 5
Timestamp: 693.7818, Position: (-352.81, 45.00, -107.38), Speed: 5.000502, Slider Value: 1, Phase: MoveToInitial, Scenario: 5
Timestamp: 693.7958, Position: (-352.74, 45.00, -107.38), Speed: 5.070537, Slider Value: 1, Phase: MoveToInitial, Scenario: 5
Timestamp: 693.8098, Position: (-352.67, 45.00, -107.38), Speed: 5.140597, Slider Value: 1, Phase: MoveToInitial, Scenario: 5
Timestamp: 693.8243, Position: (-352.60, 45.00, -107.38), Speed: 5.212692, Slider Value: 1, Phase: MoveToInitial, Scenario: 5
Timestamp: 693.8382, Position: (-352.53, 45.00, -107.38), Speed: 5.282367, Slider Value: 1, Phase: MoveToInitial, Scenario: 5
Timestamp: 693.8522, Position: (-352.45, 45.00, -107.38), Speed: 5.352637, Slider Value: 1, Phase: MoveToInitial, Scenario: 5
Timestamp: 693.8663, Position: (-352.38, 45.00, -107.38), Speed: 5.423182, Slider Value: 1, Phase: MoveToInitial, Scenario: 5
Timestamp: 693.8802, Position: (-352.30, 45.00, -107.38), Speed: 5.492476, Slider Value: 1, Phase: MoveToInitial, Scenario: 5
Timestamp: 693.8943, Position: (-352.22, 45.00, -107.38), Speed: 5.56276, Slider Value: 1, Phase: MoveToInitial, Scenario: 5
Timestamp: 693.9081, Position: (-352.15, 45.00, -107.38), Speed: 5.63176, Slider Value: 1, Phase: MoveToInitial, Scenario: 5
Timestamp: 693.9217, Position: (-352.07, 45.00, -107.38), Speed: 5.699841, Slider Value: 1, Phase: MoveToInitial, Scenario: 5
Timestamp: 693.9363, Position: (-351.99, 45.00, -107.38), Speed: 5.772772, Slider Value: 1, Phase: MoveToInitial, Scenario: 5
