Timestamp: 835.4575, Position: (-355.15, 45.00, -107.38), Speed: 0.808786, Slider Value: 50, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.5056, Position: (-355.10, 45.00, -107.38), Speed: 1.049193, Slider Value: 50, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.5241, Position: (-355.08, 45.00, -107.38), Speed: 1.14184, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.5855, Position: (-354.99, 45.00, -107.38), Speed: 1.44894, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.6179, Position: (-354.93, 45.00, -107.38), Speed: 1.610619, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.6682, Position: (-354.84, 45.00, -107.38), Speed: 1.862028, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.6815, Position: (-354.82, 45.00, -107.38), Speed: 1.928861, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.708, Position: (-354.76, 45.00, -107.38), Speed: 2.061459, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.7348, Position: (-354.70, 45.00, -107.38), Speed: 2.195446, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.7642, Position: (-354.63, 45.00, -107.38), Speed: 2.342623, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.7885, Position: (-354.57, 45.00, -107.38), Speed: 2.464103, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.8044, Position: (-354.53, 45.00, -107.38), Speed: 2.543567, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.8146, Position: (-354.51, 45.00, -107.38), Speed: 2.594318, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.8288, Position: (-354.47, 45.00, -107.38), Speed: 2.66526, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.8423, Position: (-354.43, 45.00, -107.38), Speed: 2.733241, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.8562, Position: (-354.39, 45.00, -107.38), Speed: 2.802506, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.8694, Position: (-354.35, 45.00, -107.38), Speed: 2.868703, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.8831, Position: (-354.31, 45.00, -107.38), Speed: 2.936938, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.8974, Position: (-354.27, 45.00, -107.38), Speed: 3.00824, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.9114, Position: (-354.23, 45.00, -107.38), Speed: 3.078721, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.9255, Position: (-354.18, 45.00, -107.38), Speed: 3.148874, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.9394, Position: (-354.14, 45.00, -107.38), Speed: 3.218424, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.9535, Position: (-354.09, 45.00, -107.38), Speed: 3.288908, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.9676, Position: (-354.05, 45.00, -107.38), Speed: 3.359219, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.9816, Position: (-354.00, 45.00, -107.38), Speed: 3.42915, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 835.9958, Position: (-353.95, 45.00, -107.38), Speed: 3.500336, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.0103, Position: (-353.90, 45.00, -107.38), Speed: 3.572639, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.0234, Position: (-353.85, 45.00, -107.38), Speed: 3.638495, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.0378, Position: (-353.79, 45.00, -107.38), Speed: 3.710498, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.0513, Position: (-353.74, 45.00, -107.38), Speed: 3.77769, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.0653, Position: (-353.69, 45.00, -107.38), Speed: 3.847859, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.0792, Position: (-353.64, 45.00, -107.38), Speed: 3.917341, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.093, Position: (-353.58, 45.00, -107.38), Speed: 3.986258, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.1071, Position: (-353.52, 45.00, -107.38), Speed: 4.056748, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.1212, Position: (-353.47, 45.00, -107.38), Speed: 4.127085, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.1353, Position: (-353.41, 45.00, -107.38), Speed: 4.197739, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.1491, Position: (-353.35, 45.00, -107.38), Speed: 4.266789, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.1631, Position: (-353.29, 45.00, -107.38), Speed: 4.33673, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.1768, Position: (-353.23, 45.00, -107.38), Speed: 4.405334, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.1925, Position: (-353.16, 45.00, -107.38), Speed: 4.483888, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.205, Position: (-353.10, 45.00, -107.38), Speed: 4.546079, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.222, Position: (-353.02, 45.00, -107.38), Speed: 4.631501, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.2331, Position: (-352.97, 45.00, -107.38), Speed: 4.686825, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.2462, Position: (-352.91, 45.00, -107.38), Speed: 4.752539, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.2602, Position: (-352.84, 45.00, -107.38), Speed: 4.822375, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.2743, Position: (-352.77, 45.00, -107.38), Speed: 4.892728, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.2885, Position: (-352.70, 45.00, -107.38), Speed: 4.963569, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.3024, Position: (-352.63, 45.00, -107.38), Speed: 5.03347, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.3163, Position: (-352.56, 45.00, -107.38), Speed: 5.103099, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.3306, Position: (-352.48, 45.00, -107.38), Speed: 5.174268, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.3444, Position: (-352.41, 45.00, -107.38), Speed: 5.243168, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
Timestamp: 836.3587, Position: (-352.34, 45.00, -107.38), Speed: 5.314913, Slider Value: 48, Phase: MoveToInitial, Scenario: 3
