Timestamp: 212.3943, Position: (-352.98,45, -107.38), Speed: 4.822118, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.4082, Position: (-352.91,45, -107.38), Speed: 4.891761, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.4222, Position: (-352.84,45, -107.38), Speed: 4.961819, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.4365, Position: (-352.77,45, -107.38), Speed: 5.033082, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.4503, Position: (-352.70,45, -107.38), Speed: 5.102209, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.4639, Position: (-352.63,45, -107.38), Speed: 5.17042, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.4783, Position: (-352.56,45, -107.38), Speed: 5.242185, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.4922, Position: (-352.49,45, -107.38), Speed: 5.311965, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.5063, Position: (-352.41,45, -107.38), Speed: 5.3825, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.5203, Position: (-352.34,45, -107.38), Speed: 5.45243, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.5343, Position: (-352.26,45, -107.38), Speed: 5.522207, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.548, Position: (-352.18,45, -107.38), Speed: 5.590665, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.5624, Position: (-352.10,45, -107.38), Speed: 5.662795, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.5798, Position: (-352.00,45, -107.38), Speed: 5.74986, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.5904, Position: (-351.94,45, -107.38), Speed: 5.802571, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.6039, Position: (-351.87,45, -107.38), Speed: 5.870192, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.6177, Position: (-351.78,45, -107.38), Speed: 5.939403, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.6315, Position: (-351.70,45, -107.38), Speed: 6.008496, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.6458, Position: (-351.62,45, -107.38), Speed: 6.079784, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.6599, Position: (-351.53,45, -107.38), Speed: 6.150007, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.6739, Position: (-351.44,45, -107.38), Speed: 6.220465, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.6881, Position: (-351.36,45, -107.38), Speed: 6.291198, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.7022, Position: (-351.27,45, -107.38), Speed: 6.361865, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.7161, Position: (-351.18,45, -107.38), Speed: 6.431088, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.7298, Position: (-351.09,45, -107.38), Speed: 6.499997, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.7444, Position: (-351.00,45, -107.38), Speed: 6.572767, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.7582, Position: (-350.91,45, -107.38), Speed: 6.641774, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.7752, Position: (-350.79,45, -107.38), Speed: 6.726969, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.7895, Position: (-350.70,45, -107.38), Speed: 6.798217, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.8127, Position: (-350.54,45, -107.38), Speed: 6.914494, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.8267, Position: (-350.44,45, -107.38), Speed: 6.984285, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.8411, Position: (-350.34,45, -107.38), Speed: 7.056242, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.855, Position: (-350.24,45, -107.38), Speed: 7.125745, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 212.869, Position: (-350.14,45, -107.38), Speed: 7.195693, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
