Timestamp: 0.7500001, Position: (-351.69, 57.00, -107.38), Speed: 11.09982, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 0.7666667, Position: (-351.51, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 0.7833334, Position: (-351.32, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 0.8000001, Position: (-351.14, 57.00, -107.38), Speed: 11.09982, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 0.8166667, Position: (-350.95, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 0.8333334, Position: (-350.77, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 0.85, Position: (-350.58, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 0.8666667, Position: (-350.40, 57.00, -107.38), Speed: 11.09982, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 0.8833334, Position: (-350.21, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 0.9, Position: (-350.03, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 0.9166667, Position: (-349.84, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 0.9333334, Position: (-349.66, 57.00, -107.38), Speed: 11.09982, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 0.95, Position: (-349.47, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 0.9666667, Position: (-349.29, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 0.9833334, Position: (-349.10, 57.00, -107.38), Speed: 11.09982, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1, Position: (-348.92, 57.00, -107.38), Speed: 11.0999, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.016667, Position: (-348.73, 57.00, -107.38), Speed: 11.09978, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.033333, Position: (-348.55, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.05, Position: (-348.36, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.066667, Position: (-348.18, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.083333, Position: (-347.99, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.1, Position: (-347.81, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
