Timestamp: 1.191056, Position: (-351.91, 45.00, -107.38), Speed: 6.055278, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.204132, Position: (-351.83, 45.00, -107.38), Speed: 6.120659, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.218161, Position: (-351.74, 45.00, -107.38), Speed: 6.190805, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.232068, Position: (-351.65, 45.00, -107.38), Speed: 6.260342, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.245874, Position: (-351.57, 45.00, -107.38), Speed: 6.329372, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.260633, Position: (-351.47, 45.00, -107.38), Speed: 6.403163, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.274577, Position: (-351.38, 45.00, -107.38), Speed: 6.472888, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.288008, Position: (-351.30, 45.00, -107.38), Speed: 6.540039, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.30177, Position: (-351.21, 45.00, -107.38), Speed: 6.60885, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.315922, Position: (-351.11, 45.00, -107.38), Speed: 6.679609, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.329959, Position: (-351.02, 45.00, -107.38), Speed: 6.749796, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.344095, Position: (-350.93, 45.00, -107.38), Speed: 6.820477, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.358161, Position: (-350.83, 45.00, -107.38), Speed: 6.890806, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.372102, Position: (-350.73, 45.00, -107.38), Speed: 6.96051, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.390479, Position: (-350.61, 45.00, -107.38), Speed: 7.052398, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.413671, Position: (-350.44, 45.00, -107.38), Speed: 7.168353, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.427408, Position: (-350.34, 45.00, -107.38), Speed: 7.237042, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.441609, Position: (-350.24, 45.00, -107.38), Speed: 7.308046, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.455548, Position: (-350.14, 45.00, -107.38), Speed: 7.37774, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.469469, Position: (-350.04, 45.00, -107.38), Speed: 7.447345, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.483634, Position: (-349.93, 45.00, -107.38), Speed: 7.51817, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.497914, Position: (-349.82, 45.00, -107.38), Speed: 7.589568, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.511708, Position: (-349.72, 45.00, -107.38), Speed: 7.658541, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.525964, Position: (-349.61, 45.00, -107.38), Speed: 7.729819, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.539649, Position: (-349.50, 45.00, -107.38), Speed: 7.798244, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.553479, Position: (-349.39, 45.00, -107.38), Speed: 7.867396, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.567761, Position: (-349.28, 45.00, -107.38), Speed: 7.938807, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.581849, Position: (-349.17, 45.00, -107.38), Speed: 8.009244, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.599686, Position: (-349.03, 45.00, -107.38), Speed: 8.098428, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.610089, Position: (-348.94, 45.00, -107.38), Speed: 8.150445, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.623791, Position: (-348.83, 45.00, -107.38), Speed: 8.218957, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.636887, Position: (-348.72, 45.00, -107.38), Speed: 8.284433, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.651317, Position: (-348.60, 45.00, -107.38), Speed: 8.356587, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.665228, Position: (-348.49, 45.00, -107.38), Speed: 8.426143, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.679918, Position: (-348.36, 45.00, -107.38), Speed: 8.499588, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.693366, Position: (-348.25, 45.00, -107.38), Speed: 8.566831, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.707629, Position: (-348.13, 45.00, -107.38), Speed: 8.638145, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.720894, Position: (-348.01, 45.00, -107.38), Speed: 8.704471, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.735401, Position: (-347.89, 45.00, -107.38), Speed: 8.777006, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.749549, Position: (-347.76, 45.00, -107.38), Speed: 8.847747, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.763342, Position: (-347.64, 45.00, -107.38), Speed: 8.916712, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.777382, Position: (-347.52, 45.00, -107.38), Speed: 8.98691, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.791194, Position: (-347.39, 45.00, -107.38), Speed: 9.055971, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.808932, Position: (-347.23, 45.00, -107.38), Speed: 9.144658, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.832706, Position: (-347.01, 45.00, -107.38), Speed: 9.26353, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.846195, Position: (-346.89, 45.00, -107.38), Speed: 9.330974, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.86014, Position: (-346.76, 45.00, -107.38), Speed: 9.400702, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.874711, Position: (-346.62, 45.00, -107.38), Speed: 9.473557, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.887519, Position: (-346.50, 45.00, -107.38), Speed: 9.537598, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.901944, Position: (-346.36, 45.00, -107.38), Speed: 9.609721, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.916099, Position: (-346.23, 45.00, -107.38), Speed: 9.680498, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.930098, Position: (-346.09, 45.00, -107.38), Speed: 9.750491, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.944001, Position: (-345.96, 45.00, -107.38), Speed: 9.820006, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.95822, Position: (-345.82, 45.00, -107.38), Speed: 9.8911, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.971762, Position: (-345.68, 45.00, -107.38), Speed: 9.958811, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 1.985942, Position: (-345.54, 45.00, -107.38), Speed: 10.02971, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.000098, Position: (-345.40, 45.00, -107.38), Speed: 10.10049, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.01752, Position: (-345.22, 45.00, -107.38), Speed: 10.1876, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.028278, Position: (-345.11, 45.00, -107.38), Speed: 10.24139, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.04112, Position: (-344.98, 45.00, -107.38), Speed: 10.3056, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.054693, Position: (-344.84, 45.00, -107.38), Speed: 10.37347, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.069052, Position: (-344.69, 45.00, -107.38), Speed: 10.44526, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.083108, Position: (-344.55, 45.00, -107.38), Speed: 10.51554, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.097132, Position: (-344.40, 45.00, -107.38), Speed: 10.58566, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.111294, Position: (-344.25, 45.00, -107.38), Speed: 10.65647, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.125248, Position: (-344.10, 45.00, -107.38), Speed: 10.72624, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.13909, Position: (-343.95, 45.00, -107.38), Speed: 10.79545, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.152878, Position: (-343.80, 45.00, -107.38), Speed: 10.86439, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.167246, Position: (-343.65, 45.00, -107.38), Speed: 10.93623, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.180959, Position: (-343.50, 45.00, -107.38), Speed: 11.00479, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.194993, Position: (-343.34, 45.00, -107.38), Speed: 11.07496, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
